pig cochon
horse cheval
dog chien
fish poisson
bear ours
platypus ornithorynque
beaver castor
school ecole
bus autobus
car voiture
truck camion
butterfly papillon
chair chaise
pen stylo
cake gateau
gold or
silver argent
brown brun
blue bleu
red rouge
yellow jaune
black noir
purple violet
far loin
near proche
grass gazon
hair cheveux
tooth dent
hat chapeau
clothes vetements
jacket manteau
door porte
room chambre
scarecrow epouvantail
syrup syrop
maple erable
river riviere
cheese fromage
sea mer
mountain montagne
glasses lunettes
sky ciel
cloud nuage
rain pluie
umbrella parapluie
rock roche
nest nid
laugh rire
circle cercle
square caree
beard barbe
pineapple anana
plane avion
